Commit SHA, Java File, Old function signature, New function signature
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.renderable.BlockControlLabel,BlockControlLabel(long),BlockControlLabel(Workspace, long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.BlockGenus,BlockGenus(String, String),BlockGenus(WorkspaceEnvironment, String, String)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.workspace.Page,Page(Workspace, String, int, int, String, boolean, Color),Page(Workspace, String, int, int, String, boolean, Color, boolean)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.renderable.BlockUtilities,makeNodeWithChildren(Long),makeNodeWithChildren(Workspace, Long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.renderable.BlockUtilities,makeNodeWithStack(Long),makeNodeWithStack(Workspace, Long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.CompilerException,CompilerException(Error, Long),CompilerException(Error, Workspace, Long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.Block,translateLong(Long, HashMap),translateLong(Workspace, Long, HashMap)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.BlockStub,parentPlugChanged(Long, String),parentPlugChanged(Workspace, Long, String)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.BlockStub,parentConnectorsChanged(Long),parentConnectorsChanged(Workspace, Long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.renderable.BlockUtilities,isNullBlockInstance(Long),isNullBlockInstance(Workspace, Long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.BlockStub,parentPageLabelChanged(String, Long),parentPageLabelChanged(Workspace, String, Long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.renderable.CollapseLabel,CollapseLabel(long),CollapseLabel(Workspace, long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.renderable.BlockUtilities,isLabelValid(Long, String),isLabelValid(Workspace, Long, String)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.BlockStub,parentNameChanged(String, String, Long),parentNameChanged(Workspace, String, String, Long)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.BlockStub,getStubsOfParent(Long),getStubsOfParent(Workspace, Block)
2c66469e2ba50621083f3621ceb8364b69f5df44,src/main/java/edu.mit.blocks.codeblocks.BlockStub,putNewParentInStubMap(Long),putNewParentInStubMap(Workspace, Long)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.AutoCompletePanel,displayBlock(),displayBlock(Workspace)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,copyBlock(),copyBlock(Workspace)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,pasteBlock(),pasteBlock(Workspace)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,automateBlockInsertion(TextualFactoryBlock, String),automateBlockInsertion(Workspace, TextualFactoryBlock, String)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,automateBlockInsertion(TextualFactoryBlock),automateBlockInsertion(Workspace, TextualFactoryBlock)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,automateAddition(char),automateAddition(Workspace, char)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,automateNegationInsertion(),automateNegationInsertion(Workspace)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,automateMultiplication(char),automateMultiplication(Workspace, char)
284819f0e55a568094aa7779c84f5bb69c920484,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,automateBlockDeletion(),automateBlockDeletion(Workspace)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockStub,BlockStub(Long, String, String, String),BlockStub(Workspace, Long, String, String, String)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockGenus,loadBlockGenera(Element),loadBlockGenera(Workspace, Element)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockLinkChecker,getLink(RenderableBlock, Iterable),getLink(Workspace, RenderableBlock, Iterable)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockLinkChecker,getWeakLink(RenderableBlock, Iterable),getWeakLink(Workspace, RenderableBlock, Iterable)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.workspace.typeblocking.KeyInputMap,processKeyChar(KeyEvent),processKeyChar(Workspace, KeyEvent)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.renderable.Comment,loadComment(NodeList, RenderableBlock),loadComment(Workspace, NodeList, RenderableBlock)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockGenus,loadBlockConnectorInformation(NodeList, BlockGenus),loadBlockConnectorInformation(Workspace, NodeList, BlockGenus)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.renderable.BlockLabel,BlockLabel(String, BlockLabel.Type, boolean, long, boolean, Color),BlockLabel(Workspace, String, BlockLabel.Type, boolean, long, boolean, Color)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.Block,loadBlockFrom(Node, HashMap),loadBlockFrom(Workspace, Node, HashMap)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.workspace.PageDrawerLoadingUtils,loadBlockDrawerSets(Element, FactoryManager),loadBlockDrawerSets(Workspace, Element, FactoryManager)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.renderable.BlockUtilities,getAllMatchingBlocks(String),getAllMatchingBlocks(Workspace, String)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.workspace.typeblocking.AutoCompletePanel,AutoCompletePanel(),AutoCompletePanel(Workspace)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockConnector,loadBlockConnector(Node, HashMap),loadBlockConnector(Workspace, Node, HashMap)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.Block,Block(Long, String, String, boolean),Block(Workspace, Long, String, String, boolean)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.renderable.RenderableBlock,loadBlockNode(Node, WorkspaceWidget, HashMap),loadBlockNode(Workspace, Node, WorkspaceWidget, HashMap)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockLink,getBlockLink(Block, Block, BlockConnector, BlockConnector),getBlockLink(Workspace, Block, Block, BlockConnector, BlockConnector)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockConnector,instantiateFromState(Object),instantiateFromState(Workspace, Object)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockStub,BlockStub(Long, String, String, String, String),BlockStub(Workspace, Long, String, String, String, String)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.workspace.typeblocking.TypeBlockManager,automateBlockInsertion(String, String),automateBlockInsertion(Workspace, String, String)
4996aaf57e71e6fa4a41c92af28a1d69e0f9f56b,src/main/java/edu.mit.blocks.codeblocks.BlockLink,BlockLink(Block, Block, BlockConnector, BlockConnector),BlockLink(Workspace, Block, Block, BlockConnector, BlockConnector)
